"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","SCHOOL NAME","SCHOOL SCORE","SCHOOL DISTANCE","DRIVE DISTANCE(KM)","DRIVE DURATION(MIN)","IS SENIOR"
"MLS Listing","","Single Family Residential","7335 Prindiville Dr","SAN JOSE","CA","95138","899999","4","3.0","SAN JOSE","1827","4226","1992","1","493","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/7335-Prindiville-Dr-95138/home/1521186","MLSListings","ML81675437","N","Y","37.2327809","-121.7623672","Los Paseos Elementary School","7","0.5","29.0","22","N"
"MLS Listing","","Single Family Residential","5293 Country Oak Ct","SAN JOSE","CA","95136","730000","3","2.5","SAN JOSE","1451","3492","1988","1","503","86","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/5293-Country-Oak-Ct-95136/home/1423630","MLSListings","ML81675432","N","Y","37.2591959","-121.8175599","Hayes Elementary School","6","0.6","24.8","22","N"
"MLS Listing","","Single Family Residential","871 Lakehaven Dr","SUNNYVALE","CA","94089","878888","3","2.0","SUNNYVALE","964","5995","1959","1","912","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Sunnyvale/871-Lakehaven-Dr-94089/home/585127","MLSListings","ML81674037","N","Y","37.3962424","-121.9997865","Lakewood Elementary School","4","0.2","5.8","8","N"
"MLS Listing","","Single Family Residential","765 Alamo Dr","MORGAN HILL","CA","95037","724950","3","2.0","MORGAN HILL","1727","5832","1976","1","420","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/765-Alamo-Dr-95037/home/1750307","MLSListings","ML81675422","N","Y","37.0998211","-121.6446939","Paradise Valley/machado Elementary School","9","0.5","49.5","33","N"
"MLS Listing","","Single Family Residential","110 Curry Ave","MORGAN HILL","CA","95037","899998","3","2.5","MORGAN HILL","2542","4500","2003","1","354","90","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/110-Curry-Ave-95037/home/790804","MLSListings","ML81675421","N","Y","37.1514893","-121.6734847","P. A. Walsh Elementary School","3","1.8","42.3","30","N"
"MLS Listing","","Single Family Residential","620 N 2nd St","SAN JOSE","CA","95112","749888","2","1.0","SAN JOSE","908","5421","1924","1","826","","Active","August-27-2017 01:00 PM","August-27-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/620-N-2nd-St-95112/home/1305233","MLSListings","ML81675419","N","Y","37.3480177","-121.8976546","Grant Elementary School","3","0.6","10.0","12","N"
"MLS Listing","","Single Family Residential","14940 Ridgetop Dr","SAN JOSE","CA","95127","888000","3","2.0","SAN JOSE","1239","7995","1957","1","717","","Active","","","http://www.redfin.com/CA/San-Jose/14940-Ridgetop-Dr-95127/home/943055","MLSListings","ML81675407","N","Y","37.3910282","-121.8317356","Noble Elementary School","9","0.4","21.1","21","N"
"MLS Listing","","Single Family Residential","1094 Loupe Ave","SAN JOSE","CA","95121","839000","4","2.0","SAN JOSE","1757","6000","1976","1","478","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1094-Loupe-Ave-95121/home/1204424","MLSListings","ML81675402","N","Y","37.3019826","-121.8257917","Windmill Springs Elementary School","7","0.3","20.1","17","N"
"MLS Listing","","Single Family Residential","3299 Arqueado Dr","SAN JOSE","CA","95148","749000","4","2.0","SAN JOSE","1400","6000","1971","1","535","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/3299-Arqueado-Dr-95148/home/1422491","MLSListings","ML81675397","N","Y","37.3316527","-121.7881364","Cedar Grove Elementary School","7","0.3","21.5","24","N"
"MLS Listing","","Townhouse","2221 Amberwood Ln","SAN JOSE","CA","95132","595000","3","1.5","SAN JOSE","1159","1380","1972","1","513","210","Active","August-26-2017 01:30 PM","August-26-2017 04:30 PM","http://www.redfin.com/CA/San-Jose/2221-Amberwood-Ln-95132/home/620066","MLSListings","ML81675387","N","Y","37.4135129","-121.8776008","Laneview Elementary School","8","0.4","12.5","21","N"
"MLS Listing","","Condo/Co-op","315 Poe St","PALO ALTO","CA","94301","900000","1","1.0","PALO ALTO","737","1260","1960","1","1221","165","Active","August-27-2017 01:00 PM","August-27-2017 04:00 PM","http://www.redfin.com/CA/Palo-Alto/315-Poe-St-94301/home/671859","MLSListings","ML81675358","N","Y","37.449916","-122.167015","Addison Elementary School","10","1.0","23.0","22","N"
"MLS Listing","","Townhouse","3115 Loma Verde Dr #33","SAN JOSE","CA","95117","649000","2","2.5","SAN JOSE","1306","1300","1976","1","497","290","Active","August-26-2017 01:30 PM","August-26-2017 04:30 PM","http://www.redfin.com/CA/San-Jose/3115-Loma-Verde-Dr-95117/unit-33/home/1725604","MLSListings","ML81675356","N","Y","37.299302","-121.950922","Rosemary Elementary School","4","0.4","9.6","14","N"
"MLS Listing","","Single Family Residential","7031 Eigleberry St","GILROY","CA","95020","519000","2","1.0","GILROY","1144","7400","1948","1","454","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Gilroy/7031-Eigleberry-St-95020/home/1845566","MLSListings","ML81675351","N","Y","37.0003256","-121.5674931","Glen View Elementary School","4","0.6","61.8","40","N"
"MLS Listing","","Townhouse","5025 Broken Arrow Dr","SAN JOSE","CA","95136","549000","2","2.5","SAN JOSE","1196","1","1986","1","459","325","Active","August-26-2017 01:30 PM","August-26-2017 04:30 PM","http://www.redfin.com/CA/San-Jose/5025-Broken-Arrow-Dr-95136/home/984028","MLSListings","ML81675348","N","Y","37.264282","-121.822458","Hayes Elementary School","6","0.3","22.4","22","N"
"MLS Listing","","Townhouse","1123 Dinkel Ct","SAN JOSE","CA","95118","729000","3","2.5","SAN JOSE","1573","1742","1981","1","463","284","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1123-Dinkel-Ct-95118/home/923514","MLSListings","ML81675340","N","Y","37.260302","-121.877532","Almaden Elementary School","4","0.7","20.1","20","N"
"MLS Listing","","Condo/Co-op","609 San Conrado Ter #8","SUNNYVALE","CA","94085","675000","2","2.0","SUNNYVALE","1078","2250","1985","1","626","381","Active","August-26-2017 01:30 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Sunnyvale/609-San-Conrado-Ter-94085/unit-8/home/1113601","MLSListings","ML81675338","N","Y","37.391411","-122.016218","Bishop Elementary School","6","0.6","6.8","9","N"
"MLS Listing","","Single Family Residential","8310 Springdale Ct","GILROY","CA","95020","549000","3","2.0","GILROY","1256","5073","1979","1","437","","Active","","","http://www.redfin.com/CA/Gilroy/8310-Springdale-Ct-95020/home/1288727","MLSListings","ML81675332","N","Y","37.0196678","-121.5700034","Rucker Elementary School","6","2.6","59.3","38","N"
"MLS Listing","","Condo/Co-op","936 Farrar Ct","SAN JOSE","CA","95125","785000","3","2.5","SAN JOSE","1712","1712","1999","1","459","290","Active","August-27-2017 01:00 PM","August-27-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/936-Farrar-Ct-95125/home/678476","MLSListings","ML81675325","N","Y","37.2789416","-121.8757239","Canoas Elementary School","5","0.4","18.0","17","N"
"MLS Listing","","Single Family Residential","1616 Salamoni Ct","SAN JOSE","CA","95133","899888","4","3.5","SAN JOSE","2394","2124","2005","1","376","123","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1616-Salamoni-Ct-95133/home/2121962","MLSListings","ML81675320","N","Y","37.368299","-121.873204","Vinci Park Elementary School","8","0.8","11.9","15","N"
"MLS Listing","","Condo/Co-op","4250 El Camino Real #307","PALO ALTO","CA","94306","888000","1","1.0","PALO ALTO","943","943","1983","1","942","638","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Palo-Alto/4250-El-Camino-Real-94306/unit-307/home/635131","MLSListings","ML81675317","N","Y","37.4067161","-122.1218394","Juana Briones Elementary School","10","0.5","17.5","21","N"
"MLS Listing","","Single Family Residential","182 Moore Dr","SAN JOSE","CA","95116","598000","3","2.5","SAN JOSE","1275","2635","1984","1","469","330","Active","","","http://www.redfin.com/CA/San-Jose/182-Moore-Dr-95116/home/1237374","MLSListings","ML81675315","N","Y","37.3546848","-121.8438134","San Antonio Elementary School","4","0.6","16.0","14","N"
"MLS Listing","","Single Family Residential","125 Biddleford Ct","SAN JOSE","CA","95139","725000","3","1.5","SAN JOSE","1120","6050","1972","1","647","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/125-Biddleford-Ct-95139/home/1008022","MLSListings","ML81675311","N","Y","37.2262562","-121.7659477","Los Paseos Elementary School","7","0.2","30.0","24","N"
"MLS Listing","","Single Family Residential","1655 Crater Lake Ave","MILPITAS","CA","95035","899888","3","2.0","MILPITAS","1168","5500","1964","1","770","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Milpitas/1655-Crater-Lake-Ave-95035/home/1134968","MLSListings","ML81675310","Y","Y","37.4274817","-121.8738083","John Sinnott Elementary School","10","0.4","13.7","23","N"
"MLS Listing","","Condo/Co-op","1390 Saddle Rack St #226","SAN JOSE","CA","95126","699000","2","2.0","SAN JOSE","1258","1258","2004","1","556","449","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1390-Saddle-Rack-St-95126/unit-226/home/1111670","MLSListings","ML81675293","N","Y","37.3201952","-121.9130958","Gardner Elementary School","2","1.0","15.5","14","N"
"MLS Listing","","Single Family Residential","4113 San Miguel Way","SAN JOSE","CA","95111","648000","3","2.0","SAN JOSE","1123","5400","1959","1","577","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/4113-San-Miguel-Way-95111/home/999047","MLSListings","ML81675291","N","Y","37.2814815","-121.8264709","Los Arboles Elementary School","5","0.4","23.8","20","N"
"MLS Listing","","Single Family Residential","217 Benbow Ave","SAN JOSE","CA","95123","875000","4","2.5","SAN JOSE","2186","5096","1966","1","400","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/217-Benbow-Ave-95123/home/1695796","MLSListings","ML81675277","N","Y","37.246229","-121.8114102","Anderson (alex) Elementary School","5","0.1","27.1","21","N"
"MLS Listing","","Single Family Residential","1570 Hallbrook Dr","SAN JOSE","CA","95118","899000","3","2.0","SAN JOSE","1293","6000","1961","1","695","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1570-Hallbrook-Dr-95118/home/1501813","MLSListings","ML81675276","N","Y","37.2605738","-121.898889","Reed Elementary School","9","0.3","22.2","22","N"
"MLS Listing","","Single Family Residential","3140 Dow Dr","SAN JOSE","CA","95136","699950","3","2.0","SAN JOSE","1441","6650","1971","1","486","","Active","August-26-2017 01:30 PM","August-26-2017 04:30 PM","http://www.redfin.com/CA/San-Jose/3140-Dow-Dr-95136/home/1755018","MLSListings","ML81675274","N","Y","37.2799011","-121.8685517","Canoas Elementary School","5","0.5","18.8","16","N"
"MLS Listing","","Condo/Co-op","1031 Crestview Dr #218","MOUNTAIN VIEW","CA","94040","648000","1","1.0","MOUNTAIN VIEW","855","1332","1969","1","758","425","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Mountain-View/1031-Crestview-Dr-94040/unit-218/home/1281246","MLSListings","ML81675266","Y","Y","37.3737079","-122.059551","Frank L. Huff Elementary School","10","0.9","12.9","15","N"
"MLS Listing","","Condo/Co-op","1400 Bowe Ave #612","SANTA CLARA","CA","95051","699000","2","2.0","SANTA CLARA","1062","435","1984","1","658","554","Active","August-26-2017 01:30 PM","August-26-2017 04:30 PM","http://www.redfin.com/CA/Santa-Clara/1400-Bowe-Ave-95051/unit-612/home/735849","MLSListings","ML81675261","N","Y","37.3498485","-121.9761075","Juan Cabrillo Middle School","6","0.6","3.2","7","N"
"MLS Listing","","Single Family Residential","1045 Sprig Way","GILROY","CA","95020","755000","3","2.0","GILROY","1776","6209","2012","1","425","","Active","August-26-2017 01:00 PM","August-26-2017 05:00 PM","http://www.redfin.com/CA/Gilroy/1045-Sprig-Way-95020/home/41397046","MLSListings","ML81675260","N","Y","37.0315032","-121.5993586","Luigi Aprea Elementary School","8","0.5","59.1","39","N"
"MLS Listing","","Townhouse","2128 Rio Barranca Ct","SAN JOSE","CA","95116","485000","3","1.5","SAN JOSE","1180","851","1971","1","411","235","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/2128-Rio-Barranca-Ct-95116/home/957804","MLSListings","ML81675256","N","Y","37.361392","-121.852129","San Antonio Elementary School","4","0.8","13.3","15","N"
"MLS Listing","","Single Family Residential","16973 Cory Dr","MORGAN HILL","CA","95037","849000","4","2.5","MORGAN HILL","2305","4830","2007","1","368","100","Active","August-26-2017 02:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/16973-Cory-Dr-95037/home/17291635","MLSListings","ML81675249","N","Y","37.1273014","-121.6399172","Barrett Elementary School","5","0.5","45.8","31","N"
"MLS Listing","","Single Family Residential","6111 Starling Dr","GILROY","CA","95020","675000","4","2.5","GILROY","1845","6098","1996","2","366","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Gilroy/6111-Starling-Dr-95020/home/1333348","MLSListings","ML81675248","N","Y","36.9856795","-121.5771306","Las Animas Elementary School","7","0.3","65.2","42","N"
"MLS Listing","","Single Family Residential","4143 Briarglen Dr","SAN JOSE","CA","95118","899000","4","2.0","SAN JOSE","1553","7800","1975","2","579","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/4143-Briarglen-Dr-95118/home/857995","MLSListings","ML81675243","N","Y","37.266045","-121.8785609","Reed Elementary School","9","0.9","19.9","19","N"
