"URL","IS SENIOR","PRICE","HOA/MONTH","SCHOOL SCORE","SCHOOL DISTANCE","SCHOOL NAME","DRIVE DISTANCE(KM)","DRIVE DURATION(MIN)","DAYS ON MARKET","PROPERTY TYPE","CITY","LOCATION","ZIP","BEDS","BATHS","SQUARE FEET","YEAR BUILT","FAVORITE","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME"
"http://www.redfin.com/CA/Santa-Clara/2429-Loma-Vista-Ln-95051/home/942445","N","849000","265","8","0.3","Bracher Elementary School","1.6","5","2","Townhouse","SANTA CLARA","SANTA CLARA","95051","4","2.5","1506","1971","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/252-Sunnyslope-Ave-95127/home/1066705","N","545000","","4","0.2","Horace Cureton Elementary School","19.0","20","2","Single Family Residential","SAN JOSE","SAN JOSE","95127","3","1.0","1392","1959","N","August-26-2017 01:30 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/San-Jose/896-Foxworthy-Ave-95125/home/1235346","N","800000","92","5","0.5","Canoas Elementary School","19.7","18","2","Single Family Residential","SAN JOSE","SAN JOSE","95125","3","2.5","1589","2003","N","August-25-2017 04:00 PM","August-25-2017 07:00 PM"
"http://www.redfin.com/CA/San-Jose/126-N-12th-St-95112/home/1157621","N","499000","","3","0.4","Horace Mann Elementary School","11.6","15","2","Single Family Residential","SAN JOSE","SAN JOSE","95112","1","1.0","484","1953","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Santa-Clara/4918-Plaza-Escuela-95054/home/854271","N","798000","350","8","0.1","Kathryn Hughes Elementary School","5.4","10","2","Townhouse","SANTA CLARA","SANTA CLARA","95054","3","1.5","1240","1978","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Gilroy/1151-Lerma-Ln-95020/home/1352655","N","634900","79","8","0.3","Luigi Aprea Elementary School","59.7","40","2","Single Family Residential","GILROY","GILROY","95020","3","2.5","1322","1987","N","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Gilroy/742-Vinca-Ct-95020/home/1059927","N","649000","","7","0.4","Las Animas Elementary School","64.9","41","2","Single Family Residential","GILROY","GILROY","95020","4","2.0","1552","1997","N","August-26-2017 12:00 PM","August-26-2017 03:00 PM"
"http://www.redfin.com/CA/San-Jose/954-Coyote-Rd-95111/home/974129","N","749500","","9","2.0","Santa Teresa Elementary School","25.2","18","2","Single Family Residential","SAN JOSE","SAN JOSE","95111","4","2.0","1457","1973","N","August-25-2017 03:00 PM","August-25-2017 06:00 PM"
"http://www.redfin.com/CA/San-Jose/1940-Majestic-Ct-95132/home/1455123","N","899000","","9","0.3","Majestic Way Elementary School","24.6","22","2","Single Family Residential","SAN JOSE","SAN JOSE","95132","4","2.0","1598","1971","Y","August-26-2017 01:00 PM","August-26-2017 04:00 PM"
"http://www.redfin.com/CA/Santa-Clara/1735-Franck-Ave-95051/home/674579","N","899888","","5","0.4","Bowers Elementary School","2.7","6","2","Single Family Residential","SANTA CLARA","SANTA CLARA","95051","3","1.0","1032","1953","N","August-27-2017 02:00 PM","August-27-2017 05:00 PM"
