"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Condo/Co-op","19305 Vineyard Ln","SARATOGA","CA","95070","699888","2","1.0","SARATOGA","948","1320","1971","38","738","500","Active","September-3-2017 01:30 PM","September-3-2017 04:30 PM","http://www.redfin.com/CA/Saratoga/19305-Vineyard-Ln-95070/home/955625","MLSListings","ML81670861","Y","Y","37.27859","-122.008691"
"MLS Listing","","Single Family Residential","2104 Shortridge Ave Unit A","SAN JOSE","CA","95116","748000","3","2.0","SAN JOSE","1035","5800","2017","38","723","","Active","","","http://www.redfin.com/CA/San-Jose/2104-Shortridge-Ave-95116/unit-A/home/1099720","MLSListings","ML81670839","N","Y","37.3550194","-121.8481352"
"MLS Listing","","Townhouse","17030 Saint Anne Ln","MORGAN HILL","CA","95037","710000","4","3.5","MORGAN HILL","2122","1153","2013","39","335","120","Active","","","http://www.redfin.com/CA/Morgan-Hill/17030-Saint-Anne-Ln-95037/home/52672271","MLSListings","ML81670781","N","Y","37.1275156","-121.6469366"
"MLS Listing","","Condo/Co-op","38 N Almaden Blvd #1103","SAN JOSE","CA","95110","650000","1","1.0","SAN JOSE","868","164","2008","40","749","500","Active","","","http://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-1103/home/17291010","MLSListings","ML81670654","N","Y","37.3348273","-121.8957794"
"MLS Listing","","Condo/Co-op","20675 Celeste Cir #20675","CUPERTINO","CA","95014","798800","1","1.0","CUPERTINO","871","1200","1984","40","917","309","Active","","","http://www.redfin.com/CA/Cupertino/20675-Celeste-Cir-95014/unit-20675/home/142948316","MLSListings","ML81670645","N","Y","37.3354553","-122.0349905"
"MLS Listing","","Condo/Co-op","38 N Almaden Blvd #1508","SAN JOSE","CA","95110","649000","1","1.0","SAN JOSE","791","164","2008","40","820","436","Active","","","http://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-1508/home/17291314","MLSListings","ML81670591","N","Y","37.3348273","-121.8957794"
"MLS Listing","","Condo/Co-op","17590 Depot St #206","Morgan Hill","CA","95037","629000","2","2.0","Downtown","1313","","2017","40","479","408","Active","","","http://www.redfin.com/CA/Morgan-Hill/17590-Depot-St-95037/unit-206/home/142945361","EBRD/CCAR/Bay East","40789995","N","Y","37.13118","-121.652471"
"MLS Listing","","Single Family Residential","2296 RUBY Ave","SAN JOSE","CA","95148","799000","4","2.0","SAN JOSE","1825","11520","1967","41","438","","Active","","","http://www.redfin.com/CA/San-Jose/2296-Ruby-Ave-95148/home/1745087","MLSListings","ML81670438","N","Y","37.3439915","-121.7903218"
"MLS Listing","","Single Family Residential","160 Trimble Ct","GILROY","CA","95020","725000","4","2.5","GILROY","2094","5405","2004","41","346","","Active","","","http://www.redfin.com/CA/Gilroy/Trimble-Ct-95020/home/871570","MLSListings","ML81670360","N","Y","37.0317713","-121.5838902"
"MLS Listing","","Condo/Co-op","1033 Alta Mira Dr Unit A","SANTA CLARA","CA","95051","665000","2","2.0","SANTA CLARA","1067","1768","1971","42","623","420","Active","","","http://www.redfin.com/CA/Santa-Clara/1033-Alta-Mira-Dr-95051/unit-A/home/736272","MLSListings","ML81670286","N","Y","37.346013","-121.993704"
