"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Single Family Residential","738 Robin Dr","SANTA CLARA","CA","95050","899950","3","1.0","SANTA CLARA","1070","5346","1950","1","841","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/738-Robin-Dr-95050/home/1789286","MLSListings","ML81675755","N","Y","37.341138","-121.9618473"
"MLS Listing","","Townhouse","6714 Leatherwood Ct","SAN JOSE","CA","95120","799000","3","2.0","SAN JOSE","1354","1848","1973","1","590","357","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/6714-Leatherwood-Ct-95120/home/976714","MLSListings","ML81675704","Y","Y","37.2174819","-121.861021"
"MLS Listing","","Single Family Residential","1709 Canna Ln","SAN JOSE","CA","95124","899000","3","2.0","SAN JOSE","1210","6060","1962","1","743","","Active","August-30-2017 09:00 AM","August-30-2017 01:00 PM","http://www.redfin.com/CA/San-Jose/1709-Canna-Ln-95124/home/919691","MLSListings","ML81675693","N","Y","37.2314887","-121.909904"
"MLS Listing","","Single Family Residential","2250 Lusardi Dr","SAN JOSE","CA","95148","755000","2","2.0","SAN JOSE","1061","3252","1985","1","712","70","Active","","","http://www.redfin.com/CA/San-Jose/2250-Lusardi-Dr-95148/home/1745188","MLSListings","ML81675688","N","Y","37.3156","-121.789168"
"MLS Listing","","Townhouse","18210 Hale Ave Unit A","MORGAN HILL","CA","95037","460000","3","1.5","MORGAN HILL","1145","1160","1976","1","402","285","Active","September-2-2017 02:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/18210-Hale-Ave-95037/unit-A/home/1272420","MLSListings","ML81675673","N","Y","37.137721","-121.664097"
"MLS Listing","","Townhouse","748 N 10th St #4","SAN JOSE","CA","95112","825000","3","3.5","SAN JOSE","1782","1300","2014","1","463","262","Active","","","http://www.redfin.com/CA/San-Jose/748-N-10th-St-95112/unit-4/home/55335906","MLSListings","ML81675667","N","Y","37.3549486","-121.891386"
"MLS Listing","","Single Family Residential","1423 Crucero Ct","SAN JOSE","CA","95122","520888","3","1.5","SAN JOSE","1214","3200","1971","2","429","","Active","","","http://www.redfin.com/CA/San-Jose/1423-Crucero-Ct-95122/home/877711","MLSListings","ML81675653","N","Y","37.3280431","-121.8423978"
"MLS Listing","","Single Family Residential","3242 Blue Mountain Dr","SAN JOSE","CA","95127","588888","3","2.0","SAN JOSE","1032","5000","1959","2","571","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/3242-Blue-Mountain-Dr-95127/home/1298755","MLSListings","ML81675651","N","Y","37.3501221","-121.8069533"
"MLS Listing","","Single Family Residential","484 Safari Dr","San Jose","CA","95123","799999","3","2.0","SJOS - San Jose","1232","6270","1971","2","649","","Active","","","http://www.redfin.com/CA/San-Jose/484-Safari-Dr-95123/home/1067489","CRISNet","SR17198252","N","Y","37.2376601","-121.827078"
"MLS Listing","","Single Family Residential","992 S 12th St","SAN JOSE","CA","95112","640000","3","1.0","SAN JOSE","1092","5043","1924","2","586","","Active","","","http://www.redfin.com/CA/San-Jose/992-S-12th-St-95112/home/1729085","MLSListings","ML81675636","N","Y","37.3269605","-121.867766"
"MLS Listing","","Condo/Co-op","6036 Montgomery","SAN JOSE","CA","95135","545000","2","2.0","SAN JOSE","1300","1300","1972","2","419","752","Active","","","http://www.redfin.com/CA/San-Jose/6036-Montgomery-Cor-95135/home/960289","MLSListings","ML81675629","N","Y","37.288007","-121.756477"
"MLS Listing","","Townhouse","17993 Cantabria Ln","MORGAN HILL","CA","95037","640621","3","2.5","MORGAN HILL","1620","1069","2017","2","395","293","Active","","","http://www.redfin.com/CA/MORGAN-HILL/17993-Cantabria-Ln-95037/home/143442813","MLSListings","ML81675624","N","Y","37.1305012","-121.6543901"
"New Construction Plan","","Single Family Residential","Plan 1","Morgan Hill","CA","95037","640000","3","2.5","Monterey Parque","1620","","","","395","","Active","","","http://www.redfin.com/CA/Morgan-Hill/Monterey-Parque/Plan-1/home/142961129","NewHomeSource.com","Plan-21414367","N","Y","37.137215","-121.660196"
"New Construction Home","","Single Family Residential","6388 Emerald Ln","Gilroy","CA","95020","845500","4","3.0","Vista Bella at Glen Loma Ranch","2731","","2017","2","310","","Active","","","http://www.redfin.com/CA/GILROY/6388-Emerald-Ln-95020/home/113165848","NewHomeSource.com","1366995","N","Y","36.98855","-121.582099"
"New Construction Home","","Single Family Residential","6398 Emerald Ln","Gilroy","CA","95020","848800","4","3.0","Vista Bella at Glen Loma Ranch","2918","","2017","2","291","","Active","","","http://www.redfin.com/CA/Gilroy/6398-Emerald-Ln-95020/home/113114419","NewHomeSource.com","1366996","N","Y","36.98855","-121.582099"
"MLS Listing","","Condo/Co-op","2466 W Bayshore Rd #1","PALO ALTO","CA","94303","849000","2","1.0","PALO ALTO","906","1950","1972","2","937","477","Active","September-1-2017 09:30 AM","September-1-2017 12:30 PM","http://www.redfin.com/CA/Palo-Alto/2466-W-Bayshore-Rd-94303/unit-1/home/597175","MLSListings","ML81675608","N","Y","37.445614","-122.120961"
"MLS Listing","","Single Family Residential","1018 Drexel Way","SAN JOSE","CA","95121","728168","4","2.0","SAN JOSE","1703","6360","1967","3","428","","Active","","","http://www.redfin.com/CA/San-Jose/1018-Drexel-Way-95121/home/1718181","MLSListings","ML81675586","N","Y","37.3059996","-121.8323089"
"MLS Listing","","Condo/Co-op","734 Northrup St #228","SAN JOSE","CA","95126","589000","2","2.0","SAN JOSE","964","2298","1991","3","611","333","Active","","","http://www.redfin.com/CA/San-Jose/734-Northrup-St-95126/unit-228/home/713120","MLSListings","ML81675584","N","Y","37.3152132","-121.90731"
"MLS Listing","","Single Family Residential","6371 Berrybush Ct","GILROY","CA","95020","815000","6","3.0","GILROY","3247","8100","1998","3","251","","Active","","","http://www.redfin.com/CA/Gilroy/6371-Berrybush-Ct-95020/home/1252283","MLSListings","ML81675568","N","Y","36.9897995","-121.5751516"
"MLS Listing","","Single Family Residential","2948 Garden Ave","SAN JOSE","CA","95111","829000","4","2.5","SAN JOSE","2320","11775","1956","3","357","","Active","","","http://www.redfin.com/CA/San-Jose/2948-Garden-Ave-95111/home/1552978","MLSListings","ML81675563","N","Y","37.29268","-121.841212"
"MLS Listing","","Condo/Co-op","144 S 3rd St #157","SAN JOSE","CA","95112","698000","2","2.5","SAN JOSE","1488","435","1996","3","469","549","Active","","","http://www.redfin.com/CA/San-Jose/144-S-3rd-St-95112/unit-157/home/875096","MLSListings","ML81675556","N","Y","37.3339721","-121.8857869"
"MLS Listing","","Condo/Co-op","2505 Golzio Ct #3","SAN JOSE","CA","95133","461000","2","1.0","SAN JOSE","903","1500","1971","3","511","301","Active","","","http://www.redfin.com/CA/San-Jose/2505-Golzio-Ct-95133/unit-3/home/1081936","MLSListings","ML81675549","N","Y","37.379985","-121.8565229"
"MLS Listing","","Single Family Residential","807 Ramona Way","GILROY","CA","95020","675000","4","2.5","GILROY","2101","7200","1980","3","321","","Active","","","http://www.redfin.com/CA/Gilroy/807-Ramona-Way-95020/home/699621","MLSListings","ML81675539","N","Y","37.022897","-121.59"
"MLS Listing","","Single Family Residential","6102 Urlin Ct","SAN JOSE","CA","95123","760000","4","2.0","SAN JOSE","1556","6500","1969","3","488","","Active","","","http://www.redfin.com/CA/San-Jose/6102-Urlin-Ct-95123/home/990846","MLSListings","ML81675536","N","Y","37.2366482","-121.8113554"
"MLS Listing","","Single Family Residential","704 N 12th St","SAN JOSE","CA","95112","758888","3","2.0","SAN JOSE","1484","5658","1974","3","511","","Active","","","http://www.redfin.com/CA/San-Jose/704-N-12th-St-95112/home/1328829","MLSListings","ML81675531","N","Y","37.3548568","-121.8886966"
"MLS Listing","","Single Family Residential","2109 Gullane Way","GILROY","CA","95020","789900","4","3.5","GILROY","2333","3505","2004","3","339","246","Active","","","http://www.redfin.com/CA/Gilroy/2109-Gullane-Way-95020/home/1762325","MLSListings","ML81675521","N","Y","37.0031398","-121.6071415"
"MLS Listing","","Condo/Co-op","800 N 8th St #218","SAN JOSE","CA","95112","695000","3","2.0","SAN JOSE","1370","435","2004","3","507","399","Active","","","http://www.redfin.com/CA/San-Jose/800-N-8th-St-95112/unit-218/home/1573373","MLSListings","ML81675514","N","Y","37.3554012","-121.8943441"
"MLS Listing","","Single Family Residential","1259 Hillsdale Ave","SAN JOSE","CA","95118","729000","3","2.0","SAN JOSE","1176","5900","1956","3","620","","Active","","","http://www.redfin.com/CA/San-Jose/1259-Hillsdale-Ave-95118/home/855533","MLSListings","ML81675508","N","Y","37.2741481","-121.8843428"
"MLS Listing","","Single Family Residential","1430 Grand Blvd","ALVISO","CA","95002","759000","3","2.0","ALVISO","1256","6000","1940","3","604","","Active","","","http://www.redfin.com/CA/San-Jose/1430-Grand-Blvd-95002/home/548714","MLSListings","ML81675506","N","Y","37.4287734","-121.9683081"
"MLS Listing","","Single Family Residential","574 Heath St","MILPITAS","CA","95035","888885","4","2.0","MILPITAS","1370","6000","1959","3","649","","Active","","","http://www.redfin.com/CA/Milpitas/574-Heath-St-95035/home/1640712","MLSListings","ML81675489","N","Y","37.4383256","-121.9185788"
"MLS Listing","","Condo/Co-op","7350 Via Laguna","SAN JOSE","CA","95135","699000","2","2.0","SAN JOSE","1442","2203","1983","3","485","750","Active","","","http://www.redfin.com/CA/San-Jose/7350-Via-Laguna-95135/home/681411","MLSListings","ML81675465","N","Y","37.290634","-121.745724"
"MLS Listing","","Townhouse","2406 Lincoln Village Dr","SAN JOSE","CA","95125","809000","2","2.0","SAN JOSE","1264","3060","1977","3","640","409","Active","","","http://www.redfin.com/CA/San-Jose/2406-Lincoln-Village-Dr-95125/home/850226","MLSListings","ML81675462","N","Y","37.286239","-121.88476"
"MLS Listing","","Condo/Co-op","1621 Thorncrest Dr","SAN JOSE","CA","95131","599000","2","2.0","SAN JOSE","922","1200","1987","3","650","414","Active","","","http://www.redfin.com/CA/San-Jose/1621-Thorncrest-Dr-95131/home/1576997","MLSListings","ML81675453","N","Y","37.3767349","-121.880183"
"MLS Listing","","Condo/Co-op","3740 Miraverde Ct #127","SANTA CLARA","CA","95051","728400","2","1.0","SANTA CLARA","920","","1986","3","792","352","Active","","","http://www.redfin.com/CA/Santa-Clara/3740-Miraverde-Ct-95051/unit-127/home/1562805","MLSListings","ML81675444","N","Y","37.3582409","-122.0002941"
"MLS Listing","","Condo/Co-op","7704 Galloway Dr","SAN JOSE","CA","95135","615000","2","2.0","SAN JOSE","1490","","1989","3","413","691","Active","","","http://www.redfin.com/CA/San-Jose/7704-Galloway-Dr-95135/home/1571845","MLSListings","ML81675443","N","Y","37.29042","-121.739421"
"MLS Listing","","Condo/Co-op","635 Celebration Ct","SAN JOSE","CA","95134","675000","2","2.0","SAN JOSE","925","1575","1992","3","730","285","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/635-Celebration-Ct-95134/home/546466","MLSListings","ML81675247","Y","Y","37.401582","-121.920457"
"MLS Listing","","Condo/Co-op","52 Wind Song","MILPITAS","CA","95035","799000","2","2.5","MILPITAS","1353","1673","2000","3","591","240","Active","","","http://www.redfin.com/CA/Milpitas/52-Wind-Song-95035/home/1721660","MLSListings","ML81675440","N","Y","37.417037","-121.901672"
"MLS Listing","","Single Family Residential","7335 Prindiville Dr","SAN JOSE","CA","95138","899999","4","3.0","SAN JOSE","1827","4226","1992","4","493","","Active","","","http://www.redfin.com/CA/San-Jose/7335-Prindiville-Dr-95138/home/1521186","MLSListings","ML81675437","N","Y","37.2327809","-121.7623672"
"MLS Listing","","Single Family Residential","5293 Country Oak Ct","SAN JOSE","CA","95136","730000","3","2.5","SAN JOSE","1451","3492","1988","4","503","86","Active","","","http://www.redfin.com/CA/San-Jose/5293-Country-Oak-Ct-95136/home/1423630","MLSListings","ML81675432","N","Y","37.2591959","-121.8175599"
"MLS Listing","","Single Family Residential","871 Lakehaven Dr","SUNNYVALE","CA","94089","878888","3","2.0","SUNNYVALE","964","5995","1959","4","912","","Active","","","http://www.redfin.com/CA/Sunnyvale/871-Lakehaven-Dr-94089/home/585127","MLSListings","ML81674037","N","Y","37.3962424","-121.9997865"
"MLS Listing","","Single Family Residential","765 Alamo Dr","MORGAN HILL","CA","95037","724950","3","2.0","MORGAN HILL","1727","5832","1976","4","420","","Active","","","http://www.redfin.com/CA/Morgan-Hill/765-Alamo-Dr-95037/home/1750307","MLSListings","ML81675422","N","Y","37.0998211","-121.6446939"
"MLS Listing","","Single Family Residential","110 Curry Ave","MORGAN HILL","CA","95037","899998","3","2.5","MORGAN HILL","2542","4500","2003","4","354","90","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/110-Curry-Ave-95037/home/790804","MLSListings","ML81675421","N","Y","37.1514893","-121.6734847"
"MLS Listing","","Single Family Residential","620 N 2nd St","SAN JOSE","CA","95112","749888","2","1.0","SAN JOSE","908","5421","1924","4","826","","Active","","","http://www.redfin.com/CA/San-Jose/620-N-2nd-St-95112/home/1305233","MLSListings","ML81675419","N","Y","37.3480177","-121.8976546"
"MLS Listing","","Single Family Residential","14940 Ridgetop Dr","SAN JOSE","CA","95127","888000","3","2.0","SAN JOSE","1239","7995","1957","4","717","","Active","","","http://www.redfin.com/CA/San-Jose/14940-Ridgetop-Dr-95127/home/943055","MLSListings","ML81675407","N","Y","37.3910282","-121.8317356"
"MLS Listing","","Single Family Residential","1094 Loupe Ave","SAN JOSE","CA","95121","839000","4","2.0","SAN JOSE","1757","6000","1976","4","478","","Active","","","http://www.redfin.com/CA/San-Jose/1094-Loupe-Ave-95121/home/1204424","MLSListings","ML81675402","N","Y","37.3019826","-121.8257917"
"MLS Listing","","Single Family Residential","3299 Arqueado Dr","SAN JOSE","CA","95148","749000","4","2.0","SAN JOSE","1400","6000","1971","4","535","","Active","","","http://www.redfin.com/CA/San-Jose/3299-Arqueado-Dr-95148/home/1422491","MLSListings","ML81675397","N","Y","37.3316527","-121.7881364"
"MLS Listing","","Townhouse","2221 Amberwood Ln","SAN JOSE","CA","95132","595000","3","1.5","SAN JOSE","1159","1380","1972","4","513","210","Active","","","http://www.redfin.com/CA/San-Jose/2221-Amberwood-Ln-95132/home/620066","MLSListings","ML81675387","N","Y","37.4135129","-121.8776008"
"MLS Listing","","Condo/Co-op","315 Poe St","PALO ALTO","CA","94301","900000","1","1.0","PALO ALTO","737","1260","1960","4","1221","165","Active","","","http://www.redfin.com/CA/Palo-Alto/315-Poe-St-94301/home/671859","MLSListings","ML81675358","N","Y","37.449916","-122.167015"
"MLS Listing","","Single Family Residential","7031 Eigleberry St","GILROY","CA","95020","519000","2","1.0","GILROY","1144","7400","1948","4","454","","Active","","","http://www.redfin.com/CA/Gilroy/7031-Eigleberry-St-95020/home/1845566","MLSListings","ML81675351","N","Y","37.0003256","-121.5674931"
"MLS Listing","","Townhouse","5025 Broken Arrow Dr","SAN JOSE","CA","95136","549000","2","2.5","SAN JOSE","1196","1","1986","4","459","325","Active","","","http://www.redfin.com/CA/San-Jose/5025-Broken-Arrow-Dr-95136/home/984028","MLSListings","ML81675348","N","Y","37.264282","-121.822458"
"MLS Listing","","Townhouse","1123 Dinkel Ct","SAN JOSE","CA","95118","729000","3","2.5","SAN JOSE","1573","1742","1981","4","463","284","Active","","","http://www.redfin.com/CA/San-Jose/1123-Dinkel-Ct-95118/home/923514","MLSListings","ML81675340","N","Y","37.260302","-121.877532"
"MLS Listing","","Condo/Co-op","609 San Conrado Ter #8","SUNNYVALE","CA","94085","675000","2","2.0","SUNNYVALE","1078","2250","1985","4","626","381","Active","","","http://www.redfin.com/CA/Sunnyvale/609-San-Conrado-Ter-94085/unit-8/home/1113601","MLSListings","ML81675338","N","Y","37.391411","-122.016218"
"MLS Listing","","Single Family Residential","8310 Springdale Ct","GILROY","CA","95020","549000","3","2.0","GILROY","1256","5073","1979","4","437","","Active","","","http://www.redfin.com/CA/Gilroy/8310-Springdale-Ct-95020/home/1288727","MLSListings","ML81675332","N","Y","37.0196678","-121.5700034"
"MLS Listing","","Condo/Co-op","936 Farrar Ct","SAN JOSE","CA","95125","785000","3","2.5","SAN JOSE","1712","1712","1999","4","459","290","Active","","","http://www.redfin.com/CA/San-Jose/936-Farrar-Ct-95125/home/678476","MLSListings","ML81675325","N","Y","37.2789416","-121.8757239"
"MLS Listing","","Single Family Residential","1616 Salamoni Ct","SAN JOSE","CA","95133","899888","4","3.5","SAN JOSE","2394","2124","2005","4","376","123","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1616-Salamoni-Ct-95133/home/2121962","MLSListings","ML81675320","N","Y","37.368299","-121.873204"
"MLS Listing","","Condo/Co-op","4250 El Camino Real #307","PALO ALTO","CA","94306","888000","1","1.0","PALO ALTO","943","943","1983","4","942","638","Active","","","http://www.redfin.com/CA/Palo-Alto/4250-El-Camino-Real-94306/unit-307/home/635131","MLSListings","ML81675317","N","Y","37.4067161","-122.1218394"
"MLS Listing","","Single Family Residential","182 Moore Dr","SAN JOSE","CA","95116","598000","3","2.5","SAN JOSE","1275","2635","1984","4","469","236","Active","","","http://www.redfin.com/CA/San-Jose/182-Moore-Dr-95116/home/1237374","MLSListings","ML81675315","N","Y","37.3546848","-121.8438134"
"MLS Listing","","Single Family Residential","1655 Crater Lake Ave","MILPITAS","CA","95035","899888","3","2.0","MILPITAS","1168","5500","1964","4","770","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Milpitas/1655-Crater-Lake-Ave-95035/home/1134968","MLSListings","ML81675310","Y","Y","37.4274817","-121.8738083"
"MLS Listing","","Condo/Co-op","1390 Saddle Rack St #226","SAN JOSE","CA","95126","699000","2","2.0","SAN JOSE","1258","1258","2004","4","556","449","Active","","","http://www.redfin.com/CA/San-Jose/1390-Saddle-Rack-St-95126/unit-226/home/1111670","MLSListings","ML81675293","N","Y","37.3201952","-121.9130958"
"MLS Listing","","Single Family Residential","4113 San Miguel Way","SAN JOSE","CA","95111","648000","3","2.0","SAN JOSE","1123","5400","1959","4","577","","Active","","","http://www.redfin.com/CA/San-Jose/4113-San-Miguel-Way-95111/home/999047","MLSListings","ML81675291","N","Y","37.2814815","-121.8264709"
"MLS Listing","","Single Family Residential","217 Benbow Ave","SAN JOSE","CA","95123","875000","4","2.5","SAN JOSE","2186","5096","1966","4","400","","Active","","","http://www.redfin.com/CA/San-Jose/217-Benbow-Ave-95123/home/1695796","MLSListings","ML81675277","N","Y","37.246229","-121.8114102"
"MLS Listing","","Single Family Residential","1570 Hallbrook Dr","SAN JOSE","CA","95118","899000","3","2.0","SAN JOSE","1293","6000","1961","4","695","","Active","August-28-2017 05:30 PM","August-28-2017 07:30 PM","http://www.redfin.com/CA/San-Jose/1570-Hallbrook-Dr-95118/home/1501813","MLSListings","ML81675276","N","Y","37.2605738","-121.898889"
"MLS Listing","","Single Family Residential","3140 Dow Dr","SAN JOSE","CA","95136","699950","3","2.0","SAN JOSE","1441","6650","1971","4","486","","Active","","","http://www.redfin.com/CA/San-Jose/3140-Dow-Dr-95136/home/1755018","MLSListings","ML81675274","N","Y","37.2799011","-121.8685517"
"MLS Listing","","Condo/Co-op","1031 Crestview Dr #218","MOUNTAIN VIEW","CA","94040","648000","1","1.0","MOUNTAIN VIEW","855","1332","1969","4","758","425","Active","","","http://www.redfin.com/CA/Mountain-View/1031-Crestview-Dr-94040/unit-218/home/1281246","MLSListings","ML81675266","Y","Y","37.3737079","-122.059551"
"MLS Listing","","Condo/Co-op","1400 Bowe Ave #612","SANTA CLARA","CA","95051","699000","2","2.0","SANTA CLARA","1062","435","1984","4","658","554","Active","September-2-2017 01:30 PM","September-2-2017 04:30 PM","http://www.redfin.com/CA/Santa-Clara/1400-Bowe-Ave-95051/unit-612/home/735849","MLSListings","ML81675261","N","Y","37.3498485","-121.9761075"
"MLS Listing","","Single Family Residential","1045 Sprig Way","GILROY","CA","95020","755000","3","2.0","GILROY","1776","6209","2012","4","425","","Active","","","http://www.redfin.com/CA/Gilroy/1045-Sprig-Way-95020/home/41397046","MLSListings","ML81675260","N","Y","37.0315032","-121.5993586"
"MLS Listing","","Townhouse","2128 Rio Barranca Ct","SAN JOSE","CA","95116","485000","3","1.5","SAN JOSE","1180","851","1971","4","411","235","Active","","","http://www.redfin.com/CA/San-Jose/2128-Rio-Barranca-Ct-95116/home/957804","MLSListings","ML81675256","N","Y","37.361392","-121.852129"
"MLS Listing","","Single Family Residential","16973 Cory Dr","MORGAN HILL","CA","95037","849000","4","2.5","MORGAN HILL","2305","4830","2007","4","368","100","Active","","","http://www.redfin.com/CA/Morgan-Hill/16973-Cory-Dr-95037/home/17291635","MLSListings","ML81675249","N","Y","37.1273014","-121.6399172"
"MLS Listing","","Single Family Residential","6111 Starling Dr","GILROY","CA","95020","675000","4","2.5","GILROY","1845","6098","1996","5","366","","Active","","","http://www.redfin.com/CA/Gilroy/6111-Starling-Dr-95020/home/1333348","MLSListings","ML81675248","N","Y","36.9856795","-121.5771306"
"MLS Listing","","Single Family Residential","4143 Briarglen Dr","SAN JOSE","CA","95118","899000","4","2.0","SAN JOSE","1553","7800","1975","5","579","","Active","","","http://www.redfin.com/CA/San-Jose/4143-Briarglen-Dr-95118/home/857995","MLSListings","ML81675243","N","Y","37.266045","-121.8785609"
"MLS Listing","","Condo/Co-op","958 Kiely Blvd Unit D","SANTA CLARA","CA","95051","539000","2","2.0","SANTA CLARA","956","1020","1971","5","564","480","Active","September-3-2017 01:00 PM","September-3-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/958-Kiely-Blvd-95051/unit-D/home/1450038","MLSListings","ML81675240","N","Y","37.342216","-121.9803803"
"MLS Listing","","Condo/Co-op","88 Bush St #1152","SAN JOSE","CA","95126","650000","1","1.0","SAN JOSE","859","476","2008","5","757","410","Active","","","http://www.redfin.com/CA/San-Jose/88-Bush-St-95126/unit-1152/home/17288649","MLSListings","ML81675229","N","Y","37.3301144","-121.9043482"
"MLS Listing","","Single Family Residential","6328 Mountford Dr","SAN JOSE","CA","95123","869000","3","2.0","SAN JOSE","1502","5500","1969","5","579","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/6328-Mountford-Dr-95123/home/990015","MLSListings","ML81675219","N","Y","37.2294734","-121.8117907"
"MLS Listing","","Single Family Residential","7731 Princevalle St","GILROY","CA","95020","899500","4","3.0","GILROY","2816","19600","1948","5","319","","Active","","","http://www.redfin.com/CA/Gilroy/7731-Princevalle-St-95020/home/1023205","MLSListings","ML81675216","N","Y","37.0095518","-121.579823"
"MLS Listing","","Condo/Co-op","4250 El Camino Real Unit A104","PALO ALTO","CA","94306","839000","1","1.0","PALO ALTO","885","885","1983","5","948","626","Active","","","http://www.redfin.com/CA/Palo-Alto/4250-El-Camino-Real-94306/unit-A104/home/143409679","MLSListings","ML81675213","N","Y","37.4067161","-122.1218394"
"MLS Listing","","Condo/Co-op","2599 Yerba Bank Ct","SAN JOSE","CA","95121","589000","2","2.0","SAN JOSE","843","1213","1988","5","699","275","Active","","","http://www.redfin.com/CA/San-Jose/2599-Yerba-Bank-Ct-95121/home/630857","MLSListings","ML81675211","N","Y","37.2995653","-121.7765694"
"MLS Listing","","Single Family Residential","1276 Prevost St","SAN JOSE","CA","95125","899000","2","1.0","SAN JOSE","1222","7190","1949","5","736","","Active","","","http://www.redfin.com/CA/San-Jose/1276-Prevost-St-95125/home/1014933","MLSListings","ML81675210","N","Y","37.3114018","-121.888374"
"MLS Listing","","Townhouse","1317 Lyonsville Ln","SAN JOSE","CA","95118","615000","2","2.0","SAN JOSE","974","2025","1973","5","631","387","Active","","","http://www.redfin.com/CA/San-Jose/1317-Lyonsville-Ln-95118/home/1317589","MLSListings","ML81675201","N","Y","37.244309","-121.886491"
"MLS Listing","","Townhouse","2429 Loma Vista Ln","SANTA CLARA","CA","95051","849000","4","2.5","SANTA CLARA","1506","1728","1971","5","564","265","Active","","","http://www.redfin.com/CA/Santa-Clara/2429-Loma-Vista-Ln-95051/home/942445","MLSListings","ML81673163","N","Y","37.36716","-121.969759"
"MLS Listing","","Single Family Residential","252 Sunnyslope Ave","SAN JOSE","CA","95127","545000","3","1.0","SAN JOSE","1392","6750","1959","5","392","","Active","","","http://www.redfin.com/CA/San-Jose/252-Sunnyslope-Ave-95127/home/1066705","MLSListings","ML81675198","N","Y","37.3688561","-121.8183818"
"MLS Listing","","Single Family Residential","896 Foxworthy Ave","SAN JOSE","CA","95125","800000","3","2.5","SAN JOSE","1589","1350","2003","5","503","92","Active","","","http://www.redfin.com/CA/San-Jose/896-Foxworthy-Ave-95125/home/1235346","MLSListings","ML81675192","N","Y","37.2773181","-121.876118"
"MLS Listing","","Single Family Residential","126 N 12th St","SAN JOSE","CA","95112","499000","1","1.0","SAN JOSE","484","2450","1953","5","1031","","Active","","","http://www.redfin.com/CA/San-Jose/126-N-12th-St-95112/home/1157621","MLSListings","ML81674351","N","Y","37.3436227","-121.8803165"
"MLS Listing","","Townhouse","4918 PLAZA ESCUELA","SANTA CLARA","CA","95054","798000","3","1.5","SANTA CLARA","1240","1307","1978","5","644","350","Active","","","http://www.redfin.com/CA/Santa-Clara/4918-Plaza-Escuela-95054/home/854271","MLSListings","ML81675176","N","Y","37.404516","-121.964864"
"MLS Listing","","Single Family Residential","1151 Lerma Ln","GILROY","CA","95020","634900","3","2.5","GILROY","1322","4700","1987","5","480","79","Active","","","http://www.redfin.com/CA/Gilroy/1151-Lerma-Ln-95020/home/1352655","MLSListings","ML81675169","N","Y","37.0250746","-121.599441"
"MLS Listing","","Single Family Residential","742 Vinca Ct","GILROY","CA","95020","649000","4","2.0","GILROY","1552","6066","1997","5","418","","Active","","","http://www.redfin.com/CA/Gilroy/742-Vinca-Ct-95020/home/1059927","MLSListings","ML81675167","N","Y","36.9870178","-121.5743427"
"MLS Listing","","Single Family Residential","954 Coyote Rd","SAN JOSE","CA","95111","749500","4","2.0","SAN JOSE","1457","6000","1973","5","514","","Active","","","http://www.redfin.com/CA/San-Jose/954-Coyote-Rd-95111/home/974129","MLSListings","ML81675152","N","Y","37.2638628","-121.7955484"
"MLS Listing","","Single Family Residential","1940 Majestic Ct","SAN JOSE","CA","95132","899000","4","2.0","SAN JOSE","1598","6264","1971","5","563","","Active","","","http://www.redfin.com/CA/San-Jose/1940-Majestic-Ct-95132/home/1455123","MLSListings","ML81674800","Y","Y","37.4146815","-121.8559199"
"MLS Listing","","Single Family Residential","1735 Franck Ave","SANTA CLARA","CA","95051","899888","3","1.0","SANTA CLARA","1032","5656","1953","5","872","","Active","","","http://www.redfin.com/CA/Santa-Clara/1735-Franck-Ave-95051/home/674579","MLSListings","ML81675151","N","Y","37.3543662","-121.9699198"
"MLS Listing","","Condo/Co-op","3366 Methilhaven Ln","SAN JOSE","CA","95121","529000","3","1.0","SAN JOSE","991","2303","1976","5","534","348","Active","","","http://www.redfin.com/CA/San-Jose/3366-Methilhaven-Ln-95121/home/789677","MLSListings","ML81675141","N","Y","37.3084415","-121.8014005"
